clock,sample,za1,za2,za3,za4,za5,za6,za7,za8,za9,za10,za11,za12,za13,za14,za15,za16,za17,za18,za19,za20,za21,za22,za23,za24,za25,za26,za27,za28,za29,za30,za31,za32,zd1,zd2,zd3,zd4,zd5,zd6,zd7,zd8,zd9,zd10,zd11,zd12,zd13,zd14,zd15,zd16,zd17,zd18,zd19,zd20,zd21,zd22,zd23,zd24,zd25,zd26,zd27,zd28,zd29,zd30,zd31,zd32,pattern1,pattern2,pattern3,pattern4,pattern5,pattern6,pattern7,pattern8,pattern9,pattern10
2016-05-15T16:58:30.518Z,566924,-3940,-566924,-566924,-566924,-566924,-566924,-566924,-566924,-566924,-566924,-566924,-566924,-566924,-566924,-566924,-29,-566924,-566924,-566924,-566924,-566924,-566924,-566924,-566924,-152396,-50166,-220,-34,-37,-5,-566924,-10,-3928,-566924,-566924,-566924,-566924,-566924,-566924,-566924,-566924,-566924,-566924,-566924,-566924,-566924,-566924,-25,-566924,-566924,-566924,-566924,-566924,-566924,-566924,-566924,-145551,-50117,-220,-29,-35,-4,-566924,-6,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
2016-05-15T17:05:28.960Z,567343,-4359,-567343,-567343,-567343,-567343,-567343,-567343,-567343,-567343,-567343,-567343,-567343,-567343,-567343,-567343,-30,-567343,-567343,-567343,-567343,-567343,-567343,-567343,-567343,-152815,-50585,-639,-37,-236,-9,-567343,-11,-4347,-567343,-567343,-567343,-567343,-567343,-567343,-567343,-567343,-567343,-567343,-567343,-567343,-567343,-567343,-26,-567343,-567343,-567343,-567343,-567343,-567343,-567343,-567343,-145970,-50536,-639,-28,-232,-5,-567343,-7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
2016-05-15T17:04:15.572Z,567269,-4285,-567269,-567269,-567269,-567269,-567269,-567269,-567269,-567269,-567269,-567269,-567269,-567269,-567269,-567269,-101,-567269,-567269,-567269,-567269,-567269,-567269,-567269,-567269,-152741,-50511,-565,-50,-162,-240,-567269,-258,-4273,-567269,-567269,-567269,-567269,-567269,-567269,-567269,-567269,-567269,-567269,-567269,-567269,-567269,-567269,-85,-567269,-567269,-567269,-567269,-567269,-567269,-567269,-567269,-145896,-50462,-565,-45,-158,-238,-567269,-254,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
2016-05-15T17:00:07.260Z,567021,-4037,-567021,-567021,-567021,-567021,-567021,-567021,-567021,-567021,-567021,-567021,-567021,-567021,-567021,-567021,-30,-567021,-567021,-567021,-567021,-567021,-567021,-567021,-567021,-152493,-50263,-317,-35,-2,-9,-567021,-10,-4025,-567021,-567021,-567021,-567021,-567021,-567021,-567021,-567021,-567021,-567021,-567021,-567021,-567021,-567021,-26,-567021,-567021,-567021,-567021,-567021,-567021,-567021,-567021,-145648,-50214,-317,-29,-2,-4,-567021,-6,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
2016-05-15T17:16:27.221Z,568001,-568001,-568001,-568001,-568001,-568001,-568001,-568001,-568001,-568001,-568001,-568001,-568001,-568001,-568001,-568001,-568001,-568001,-568001,-568001,-568001,-568001,-568001,-568001,-568001,-5,-568001,-568001,-20,-568001,-5,-568001,-51,-568001,-568001,-568001,-568001,-568001,-568001,-568001,-568001,-568001,-568001,-568001,-568001,-568001,-568001,-568001,-568001,-568001,-568001,-568001,-568001,-568001,-568001,-568001,-568001,-568001,-568001,-568001,-11,-568001,-4,-568001,-29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
2016-05-15T17:16:09.301Z,567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-2,-567983,-9,-567983,-33,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-567983,-17,-567983,-5,-567983,-11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
2016-05-15T17:18:52.597Z,568146,-568146,-568146,-568146,-568146,-568146,-568146,-568146,-568146,-568146,-568146,-568146,-568146,-568146,-568146,-568146,-568146,-568146,-568146,-568146,-568146,-568146,-568146,-568146,-568146,-150,-568146,-568146,0,-72,-6,-568146,-23,-568146,-568146,-568146,-568146,-568146,-568146,-568146,-568146,-568146,-568146,-568146,-568146,-568146,-568146,-568146,-568146,-568146,-568146,-568146,-568146,-568146,-568146,-568146,-568146,-568146,-568146,-568146,-37,-69,-4,-568146,-18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
2016-05-15T17:18:12.776Z,568106,-568106,-568106,-568106,-568106,-568106,-568106,-568106,-568106,-568106,-568106,-568106,-568106,-568106,-568106,-568106,-568106,-568106,-568106,-568106,-568106,-568106,-568106,-568106,-568106,-110,-568106,-568106,-2,-32,-5,-568106,-9,-568106,-568106,-568106,-568106,-568106,-568106,-568106,-568106,-568106,-568106,-568106,-568106,-568106,-568106,-568106,-568106,-568106,-568106,-568106,-568106,-568106,-568106,-568106,-568106,-568106,-568106,-568106,-11,-29,-3,-568106,-134,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
2016-05-15T17:17:42.576Z,568076,-568076,-568076,-568076,-568076,-568076,-568076,-568076,-568076,-568076,-568076,-568076,-568076,-568076,-568076,-568076,-568076,-568076,-568076,-568076,-568076,-568076,-568076,-568076,-568076,-80,-568076,-568076,-7,-2,-12,-568076,-126,-568076,-568076,-568076,-568076,-568076,-568076,-568076,-568076,-568076,-568076,-568076,-568076,-568076,-568076,-568076,-568076,-568076,-568076,-568076,-568076,-568076,-568076,-568076,-568076,-568076,-568076,-568076,-5,-59,-11,-568076,-104,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
2016-05-15T17:22:49.489Z,568383,-568383,-568383,-568383,-568383,-568383,-568383,-568383,-568383,-568383,-568383,-568383,-568383,-568383,-568383,-568383,-67,-568383,-568383,-568383,-568383,-568383,-568383,-568383,-568383,-387,-568383,-568383,-29,-45,-9,-568383,-50,-568383,-568383,-568383,-568383,-568383,-568383,-568383,-568383,-568383,-568383,-568383,-568383,-568383,-568383,-568383,-63,-568383,-568383,-568383,-568383,-568383,-568383,-568383,-568383,-568383,-568383,-568383,-26,-43,-7,-568383,-45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
2016-05-15T17:22:23.034Z,568357,-568357,-568357,-568357,-568357,-568357,-568357,-568357,-568357,-568357,-568357,-568357,-568357,-568357,-568357,-568357,-41,-568357,-568357,-568357,-568357,-568357,-568357,-568357,-568357,-361,-568357,-568357,-3,-19,-18,-568357,-24,-568357,-568357,-568357,-568357,-568357,-568357,-568357,-568357,-568357,-568357,-568357,-568357,-568357,-568357,-568357,-37,-568357,-568357,-568357,-568357,-568357,-568357,-568357,-568357,-568357,-568357,-568357,-4,-17,-16,-568357,-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
2016-05-15T17:29:47.403Z,568801,-568801,-568801,-568801,-568801,-568801,-568801,-568801,-568801,-568801,-568801,-568801,-568801,-568801,-568801,-568801,-38,-568801,-568801,-568801,-568801,-568801,-568801,-568801,-568801,-805,-568801,-568801,-42,-3,-3,-568801,-18,-568801,-568801,-568801,-568801,-568801,-568801,-568801,-568801,-568801,-568801,-568801,-568801,-568801,-568801,-568801,-34,-568801,-568801,-568801,-568801,-568801,-568801,-568801,-568801,-568801,-568801,-568801,-38,-6,-1,-568801,-12,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
2016-05-15T17:51:26.680Z,570100,-570100,-570100,-570100,-570100,-570100,-570100,-570100,-570100,-570100,-570100,-570100,-570100,-570100,-570100,-570100,-115,-570100,-570100,-570100,-570100,-570100,-570100,-570100,-570100,-2104,-570100,-570100,-28,-17,-34,-570100,-99,-570100,-570100,-570100,-570100,-570100,-570100,-570100,-570100,-570100,-570100,-570100,-570100,-570100,-570100,-570100,-111,-570100,-570100,-570100,-570100,-570100,-570100,-570100,-570100,-570100,-570100,-570100,-21,-15,-32,-570100,-95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
2016-05-15T17:50:18.923Z,570033,-570033,-570033,-570033,-570033,-570033,-570033,-570033,-570033,-570033,-570033,-570033,-570033,-570033,-570033,-570033,-48,-570033,-570033,-570033,-570033,-570033,-570033,-570033,-570033,-2037,-570033,-570033,-9,-954,-30,-570033,-32,-570033,-570033,-570033,-570033,-570033,-570033,-570033,-570033,-570033,-570033,-570033,-570033,-570033,-570033,-570033,-44,-570033,-570033,-570033,-570033,-570033,-570033,-570033,-570033,-570033,-570033,-570033,-7,-946,-26,-570033,-28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
