clock,sample,za1,za2,za3,za4,za5,za6,za7,za8,za9,za10,za11,za12,za13,za14,za15,za16,za17,za18,za19,za20,za21,za22,za23,za24,za25,za26,za27,za28,za29,za30,za31,za32,zd1,zd2,zd3,zd4,zd5,zd6,zd7,zd8,zd9,zd10,zd11,zd12,zd13,zd14,zd15,zd16,zd17,zd18,zd19,zd20,zd21,zd22,zd23,zd24,zd25,zd26,zd27,zd28,zd29,zd30,zd31,zd32,pattern1,pattern2,pattern3,pattern4,pattern5,pattern6,pattern7,pattern8
Tue May 03 2016 19:43:52 GMT-0700 (PDT),298979,-2020,-298979,-298979,-298979,-298979,-298979,-298979,-298979,-298979,-298979,-298979,-298979,-298979,-298979,-298979,-118,-298979,-298979,-298979,-298979,-298979,-298979,-298979,-298979,-298979,-298979,-4203,-123,-1682,-3,-298979,-87,-2015,-298979,-298979,-298979,-298979,-298979,-298979,-298979,-298979,-298979,-298979,-298979,-298979,-298979,-298979,-112,-298979,-298979,-298979,-298979,-298979,-298979,-298979,-298979,-298979,-298979,-4201,-119,-1680,-4,-298979,-82,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:43:53 GMT-0700 (PDT),298980,-2021,-298980,-298980,-298980,-298980,-298980,-298980,-298980,-298980,-298980,-298980,-298980,-298980,-298980,-298980,-119,-298980,-298980,-298980,-298980,-298980,-298980,-298980,-298980,-298980,-298980,-4204,-124,-1683,-4,-298980,0,-2016,-298980,-298980,-298980,-298980,-298980,-298980,-298980,-298980,-298980,-298980,-298980,-298980,-298980,-298980,-113,-298980,-298980,-298980,-298980,-298980,-298980,-298980,-298980,-298980,-298980,-4202,-120,-1681,-5,-298980,-83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:43:55 GMT-0700 (PDT),298981,-2022,-298981,-298981,-298981,-298981,-298981,-298981,-298981,-298981,-298981,-298981,-298981,-298981,-298981,-298981,-120,-298981,-298981,-298981,-298981,-298981,-298981,-298981,-298981,-298981,-298981,-4205,-125,-1684,-5,-298981,-1,-2017,-298981,-298981,-298981,-298981,-298981,-298981,-298981,-298981,-298981,-298981,-298981,-298981,-298981,-298981,-114,-298981,-298981,-298981,-298981,-298981,-298981,-298981,-298981,-298981,-298981,-4203,-121,-1682,-6,-298981,-84,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:43:56 GMT-0700 (PDT),298982,-2023,-298982,-298982,-298982,-298982,-298982,-298982,-298982,-298982,-298982,-298982,-298982,-298982,-298982,-298982,-121,-298982,-298982,-298982,-298982,-298982,-298982,-298982,-298982,-298982,-298982,-4206,-126,-1685,-6,-298982,-2,-2018,-298982,-298982,-298982,-298982,-298982,-298982,-298982,-298982,-298982,-298982,-298982,-298982,-298982,-298982,-115,-298982,-298982,-298982,-298982,-298982,-298982,-298982,-298982,-298982,-298982,-4204,-122,-1683,-7,-298982,-85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:43:57 GMT-0700 (PDT),298984,-2025,-298984,-298984,-298984,-298984,-298984,-298984,-298984,-298984,-298984,-298984,-298984,-298984,-298984,-298984,-123,-298984,-298984,-298984,-298984,-298984,-298984,-298984,-298984,-298984,-298984,-4208,-128,-1687,-8,-298984,-4,-2020,-298984,-298984,-298984,-298984,-298984,-298984,-298984,-298984,-298984,-298984,-298984,-298984,-298984,-298984,-117,-298984,-298984,-298984,-298984,-298984,-298984,-298984,-298984,-298984,-298984,-4206,-124,-1685,-1,-298984,-87,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:43:58 GMT-0700 (PDT),298985,-2026,-298985,-298985,-298985,-298985,-298985,-298985,-298985,-298985,-298985,-298985,-298985,-298985,-298985,-298985,-124,-298985,-298985,-298985,-298985,-298985,-298985,-298985,-298985,-298985,-298985,-4209,-129,-1688,-9,-298985,-5,-2021,-298985,-298985,-298985,-298985,-298985,-298985,-298985,-298985,-298985,-298985,-298985,-298985,-298985,-298985,-118,-298985,-298985,-298985,-298985,-298985,-298985,-298985,-298985,-298985,-298985,-4207,-125,-1686,-2,-298985,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:00 GMT-0700 (PDT),298986,-2027,-298986,-298986,-298986,-298986,-298986,-298986,-298986,-298986,-298986,-298986,-298986,-298986,-298986,-298986,-125,-298986,-298986,-298986,-298986,-298986,-298986,-298986,-298986,-298986,-298986,-4210,-130,-1689,-10,-298986,-6,-2022,-298986,-298986,-298986,-298986,-298986,-298986,-298986,-298986,-298986,-298986,-298986,-298986,-298986,-298986,-119,-298986,-298986,-298986,-298986,-298986,-298986,-298986,-298986,-298986,-298986,-4208,-126,-1687,-3,-298986,-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:01 GMT-0700 (PDT),298987,-2028,-298987,-298987,-298987,-298987,-298987,-298987,-298987,-298987,-298987,-298987,-298987,-298987,-298987,-298987,-126,-298987,-298987,-298987,-298987,-298987,-298987,-298987,-298987,-298987,-298987,-4211,-131,-1690,-11,-298987,-7,-2023,-298987,-298987,-298987,-298987,-298987,-298987,-298987,-298987,-298987,-298987,-298987,-298987,-298987,-298987,-120,-298987,-298987,-298987,-298987,-298987,-298987,-298987,-298987,-298987,-298987,-4209,-127,-1688,-4,-298987,-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:02 GMT-0700 (PDT),298988,-2029,-298988,-298988,-298988,-298988,-298988,-298988,-298988,-298988,-298988,-298988,-298988,-298988,-298988,-298988,-127,-298988,-298988,-298988,-298988,-298988,-298988,-298988,-298988,-298988,-298988,-4212,-132,-1691,-12,-298988,-8,-2024,-298988,-298988,-298988,-298988,-298988,-298988,-298988,-298988,-298988,-298988,-298988,-298988,-298988,-298988,-121,-298988,-298988,-298988,-298988,-298988,-298988,-298988,-298988,-298988,-298988,-4210,-128,-1689,-5,-298988,-4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:03 GMT-0700 (PDT),298990,-2031,-298990,-298990,-298990,-298990,-298990,-298990,-298990,-298990,-298990,-298990,-298990,-298990,-298990,-298990,-129,-298990,-298990,-298990,-298990,-298990,-298990,-298990,-298990,-298990,-298990,-4214,-134,-1693,-14,-298990,-10,-2026,-298990,-298990,-298990,-298990,-298990,-298990,-298990,-298990,-298990,-298990,-298990,-298990,-298990,-298990,-123,-298990,-298990,-298990,-298990,-298990,-298990,-298990,-298990,-298990,-298990,-4212,-130,-1691,-7,-298990,-6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:04 GMT-0700 (PDT),298991,-2032,-298991,-298991,-298991,-298991,-298991,-298991,-298991,-298991,-298991,-298991,-298991,-298991,-298991,-298991,-130,-298991,-298991,-298991,-298991,-298991,-298991,-298991,-298991,-298991,-298991,-4215,-135,-1694,-15,-298991,-11,-2027,-298991,-298991,-298991,-298991,-298991,-298991,-298991,-298991,-298991,-298991,-298991,-298991,-298991,-298991,-124,-298991,-298991,-298991,-298991,-298991,-298991,-298991,-298991,-298991,-298991,-4213,-131,-1692,-8,-298991,-7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:06 GMT-0700 (PDT),298992,-2033,-298992,-298992,-298992,-298992,-298992,-298992,-298992,-298992,-298992,-298992,-298992,-298992,-298992,-298992,-131,-298992,-298992,-298992,-298992,-298992,-298992,-298992,-298992,-298992,-298992,-4216,-136,-1695,-16,-298992,-12,-2028,-298992,-298992,-298992,-298992,-298992,-298992,-298992,-298992,-298992,-298992,-298992,-298992,-298992,-298992,-125,-298992,-298992,-298992,-298992,-298992,-298992,-298992,-298992,-298992,-298992,-4214,-132,-1693,-9,-298992,-8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:07 GMT-0700 (PDT),298993,-2034,-298993,-298993,-298993,-298993,-298993,-298993,-298993,-298993,-298993,-298993,-298993,-298993,-298993,-298993,-132,-298993,-298993,-298993,-298993,-298993,-298993,-298993,-298993,-298993,-298993,-4217,-137,-1696,-17,-298993,-13,-2029,-298993,-298993,-298993,-298993,-298993,-298993,-298993,-298993,-298993,-298993,-298993,-298993,-298993,-298993,-126,-298993,-298993,-298993,-298993,-298993,-298993,-298993,-298993,-298993,-298993,-4215,-133,-1694,-10,-298993,-9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:08 GMT-0700 (PDT),298994,-2035,-298994,-298994,-298994,-298994,-298994,-298994,-298994,-298994,-298994,-298994,-298994,-298994,-298994,-298994,-133,-298994,-298994,-298994,-298994,-298994,-298994,-298994,-298994,-298994,-298994,-4218,-138,-1697,-18,-298994,-14,-2030,-298994,-298994,-298994,-298994,-298994,-298994,-298994,-298994,-298994,-298994,-298994,-298994,-298994,-298994,-127,-298994,-298994,-298994,-298994,-298994,-298994,-298994,-298994,-298994,-298994,-4216,-134,-1695,-11,-298994,-10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:09 GMT-0700 (PDT),298996,-2037,-298996,-298996,-298996,-298996,-298996,-298996,-298996,-298996,-298996,-298996,-298996,-298996,-298996,-298996,-135,-298996,-298996,-298996,-298996,-298996,-298996,-298996,-298996,-298996,-298996,-4220,-140,-1699,-20,-298996,-16,-2032,-298996,-298996,-298996,-298996,-298996,-298996,-298996,-298996,-298996,-298996,-298996,-298996,-298996,-298996,-129,-298996,-298996,-298996,-298996,-298996,-298996,-298996,-298996,-298996,-298996,-4218,-136,-1697,-13,-298996,-12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:10 GMT-0700 (PDT),298997,-2038,-298997,-298997,-298997,-298997,-298997,-298997,-298997,-298997,-298997,-298997,-298997,-298997,-298997,-298997,-136,-298997,-298997,-298997,-298997,-298997,-298997,-298997,-298997,-298997,-298997,-4221,-141,-1700,-21,-298997,-17,-2033,-298997,-298997,-298997,-298997,-298997,-298997,-298997,-298997,-298997,-298997,-298997,-298997,-298997,-298997,-130,-298997,-298997,-298997,-298997,-298997,-298997,-298997,-298997,-298997,-298997,-4219,-137,-1698,-14,-298997,-13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
