clock,sample,za1,za2,za3,za4,za5,za6,za7,za8,za9,za10,za11,za12,za13,za14,za15,za16,za17,za18,za19,za20,za21,za22,za23,za24,za25,za26,za27,za28,za29,za30,za31,za32,zd1,zd2,zd3,zd4,zd5,zd6,zd7,zd8,zd9,zd10,zd11,zd12,zd13,zd14,zd15,zd16,zd17,zd18,zd19,zd20,zd21,zd22,zd23,zd24,zd25,zd26,zd27,zd28,zd29,zd30,zd31,zd32,pattern1,pattern2,pattern3,pattern4,pattern5,pattern6,pattern7,pattern8
Tue May 03 2016 19:44:24 GMT-0700 (PDT),299010,-2051,-299010,-299010,-299010,-299010,-299010,-299010,-299010,-299010,-299010,-299010,-299010,-299010,-299010,-299010,-7,-299010,-299010,-299010,-299010,-299010,-299010,-299010,-299010,-299010,-299010,-4234,-154,-1713,-34,-299010,-30,-2046,-299010,-299010,-299010,-299010,-299010,-299010,-299010,-299010,-299010,-299010,-299010,-299010,-299010,-299010,-1,-299010,-299010,-299010,-299010,-299010,-299010,-299010,-299010,-299010,-299010,-4232,-150,-1711,-27,-299010,-26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:25 GMT-0700 (PDT),299011,-2052,-299011,-299011,-299011,-299011,-299011,-299011,-299011,-299011,-299011,-299011,-299011,-299011,-299011,-299011,-8,-299011,-299011,-299011,-299011,-299011,-299011,-299011,-299011,-299011,-299011,-4235,-155,-1714,-35,-299011,-31,-2047,-299011,-299011,-299011,-299011,-299011,-299011,-299011,-299011,-299011,-299011,-299011,-299011,-299011,-299011,-2,-299011,-299011,-299011,-299011,-299011,-299011,-299011,-299011,-299011,-299011,-4233,-151,-1712,-28,-299011,-27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:26 GMT-0700 (PDT),299013,-2054,-299013,-299013,-299013,-299013,-299013,-299013,-299013,-299013,-299013,-299013,-299013,-299013,-299013,-299013,-10,-299013,-299013,-299013,-299013,-299013,-299013,-299013,-299013,-299013,-299013,-4237,-157,-1716,-37,-299013,-33,-2049,-299013,-299013,-299013,-299013,-299013,-299013,-299013,-299013,-299013,-299013,-299013,-299013,-299013,-299013,-4,-299013,-299013,-299013,-299013,-299013,-299013,-299013,-299013,-299013,-299013,-4235,-153,-1714,-30,-299013,-29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:27 GMT-0700 (PDT),299014,-2055,-299014,-299014,-299014,-299014,-299014,-299014,-299014,-299014,-299014,-299014,-299014,-299014,-299014,-299014,-11,-299014,-299014,-299014,-299014,-299014,-299014,-299014,-299014,-299014,-299014,-4238,-1,-1717,-38,-299014,-34,-2050,-299014,-299014,-299014,-299014,-299014,-299014,-299014,-299014,-299014,-299014,-299014,-299014,-299014,-299014,-5,-299014,-299014,-299014,-299014,-299014,-299014,-299014,-299014,-299014,-299014,-4236,-154,-1715,-31,-299014,-30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:29 GMT-0700 (PDT),299016,-2057,-299016,-299016,-299016,-299016,-299016,-299016,-299016,-299016,-299016,-299016,-299016,-299016,-299016,-299016,-13,-299016,-299016,-299016,-299016,-299016,-299016,-299016,-299016,-299016,-299016,-4240,-3,-1719,-40,-299016,-36,-2052,-299016,-299016,-299016,-299016,-299016,-299016,-299016,-299016,-299016,-299016,-299016,-299016,-299016,-299016,-7,-299016,-299016,-299016,-299016,-299016,-299016,-299016,-299016,-299016,-299016,-4238,-2,-1717,-33,-299016,-32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:30 GMT-0700 (PDT),299017,-2058,-299017,-299017,-299017,-299017,-299017,-299017,-299017,-299017,-299017,-299017,-299017,-299017,-299017,-299017,-14,-299017,-299017,-299017,-299017,-299017,-299017,-299017,-299017,-299017,-299017,-4241,-4,-1720,-41,-299017,-37,-2053,-299017,-299017,-299017,-299017,-299017,-299017,-299017,-299017,-299017,-299017,-299017,-299017,-299017,-299017,-8,-299017,-299017,-299017,-299017,-299017,-299017,-299017,-299017,-299017,-299017,-4239,-3,-1718,-34,-299017,-33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:32 GMT-0700 (PDT),299018,-2059,-299018,-299018,-299018,-299018,-299018,-299018,-299018,-299018,-299018,-299018,-299018,-299018,-299018,-299018,-15,-299018,-299018,-299018,-299018,-299018,-299018,-299018,-299018,-299018,-299018,-4242,-5,-1721,-42,-299018,-38,-2054,-299018,-299018,-299018,-299018,-299018,-299018,-299018,-299018,-299018,-299018,-299018,-299018,-299018,-299018,-9,-299018,-299018,-299018,-299018,-299018,-299018,-299018,-299018,-299018,-299018,-4240,-4,-1719,-35,-299018,-34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:33 GMT-0700 (PDT),299019,-2060,-299019,-299019,-299019,-299019,-299019,-299019,-299019,-299019,-299019,-299019,-299019,-299019,-299019,-299019,-16,-299019,-299019,-299019,-299019,-299019,-299019,-299019,-299019,-299019,-299019,-4243,-6,-1722,-43,-299019,-39,-2055,-299019,-299019,-299019,-299019,-299019,-299019,-299019,-299019,-299019,-299019,-299019,-299019,-299019,-299019,-10,-299019,-299019,-299019,-299019,-299019,-299019,-299019,-299019,-299019,-299019,-4241,-5,-1720,-36,-299019,-35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:34 GMT-0700 (PDT),299020,-2061,-299020,-299020,-299020,-299020,-299020,-299020,-299020,-299020,-299020,-299020,-299020,-299020,-299020,-299020,-17,-299020,-299020,-299020,-299020,-299020,-299020,-299020,-299020,-299020,-299020,-4244,-7,-1723,-44,-299020,-40,-2056,-299020,-299020,-299020,-299020,-299020,-299020,-299020,-299020,-299020,-299020,-299020,-299020,-299020,-299020,-11,-299020,-299020,-299020,-299020,-299020,-299020,-299020,-299020,-299020,-299020,-4242,-6,-1721,-37,-299020,-36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:35 GMT-0700 (PDT),299022,-2063,-299022,-299022,-299022,-299022,-299022,-299022,-299022,-299022,-299022,-299022,-299022,-299022,-299022,-299022,-19,-299022,-299022,-299022,-299022,-299022,-299022,-299022,-299022,-299022,-299022,-4246,-9,-1725,-46,-299022,-42,-2058,-299022,-299022,-299022,-299022,-299022,-299022,-299022,-299022,-299022,-299022,-299022,-299022,-299022,-299022,-13,-299022,-299022,-299022,-299022,-299022,-299022,-299022,-299022,-299022,-299022,-4244,-8,-1723,-39,-299022,-38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:36 GMT-0700 (PDT),299023,-2064,-299023,-299023,-299023,-299023,-299023,-299023,-299023,-299023,-299023,-299023,-299023,-299023,-299023,-299023,-20,-299023,-299023,-299023,-299023,-299023,-299023,-299023,-299023,-299023,-299023,-4247,-10,-1726,-47,-299023,-43,-2059,-299023,-299023,-299023,-299023,-299023,-299023,-299023,-299023,-299023,-299023,-299023,-299023,-299023,-299023,-14,-299023,-299023,-299023,-299023,-299023,-299023,-299023,-299023,-299023,-299023,-4245,-9,-1724,-40,-299023,-39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:38 GMT-0700 (PDT),299024,-2065,-299024,-299024,-299024,-299024,-299024,-299024,-299024,-299024,-299024,-299024,-299024,-299024,-299024,-299024,-21,-299024,-299024,-299024,-299024,-299024,-299024,-299024,-299024,-299024,-299024,-4248,-11,-1727,-48,-299024,-44,-2060,-299024,-299024,-299024,-299024,-299024,-299024,-299024,-299024,-299024,-299024,-299024,-299024,-299024,-299024,-15,-299024,-299024,-299024,-299024,-299024,-299024,-299024,-299024,-299024,-299024,-4246,-10,-1725,-41,-299024,-40,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:39 GMT-0700 (PDT),299025,-2066,-299025,-299025,-299025,-299025,-299025,-299025,-299025,-299025,-299025,-299025,-299025,-299025,-299025,-299025,-22,-299025,-299025,-299025,-299025,-299025,-299025,-299025,-299025,-299025,-299025,-4249,-12,-1728,-49,-299025,-45,-2061,-299025,-299025,-299025,-299025,-299025,-299025,-299025,-299025,-299025,-299025,-299025,-299025,-299025,-299025,-16,-299025,-299025,-299025,-299025,-299025,-299025,-299025,-299025,-299025,-299025,-4247,-11,-1726,-42,-299025,-41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:40 GMT-0700 (PDT),299026,-2067,-299026,-299026,-299026,-299026,-299026,-299026,-299026,-299026,-299026,-299026,-299026,-299026,-299026,-299026,-23,-299026,-299026,-299026,-299026,-299026,-299026,-299026,-299026,-299026,-299026,-4250,-13,-1729,-50,-299026,-46,-2062,-299026,-299026,-299026,-299026,-299026,-299026,-299026,-299026,-299026,-299026,-299026,-299026,-299026,-299026,-17,-299026,-299026,-299026,-299026,-299026,-299026,-299026,-299026,-299026,-299026,-4248,-12,-1727,-43,-299026,-42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:41 GMT-0700 (PDT),299028,-2069,-299028,-299028,-299028,-299028,-299028,-299028,-299028,-299028,-299028,-299028,-299028,-299028,-299028,-299028,-25,-299028,-299028,-299028,-299028,-299028,-299028,-299028,-299028,-299028,-299028,-4252,-15,-1731,-52,-299028,-48,-2064,-299028,-299028,-299028,-299028,-299028,-299028,-299028,-299028,-299028,-299028,-299028,-299028,-299028,-299028,-19,-299028,-299028,-299028,-299028,-299028,-299028,-299028,-299028,-299028,-299028,-4250,-14,-1729,-45,-299028,-44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:42 GMT-0700 (PDT),299029,-2070,-299029,-299029,-299029,-299029,-299029,-299029,-299029,-299029,-299029,-299029,-299029,-299029,-299029,-299029,-26,-299029,-299029,-299029,-299029,-299029,-299029,-299029,-299029,-299029,-299029,-4253,-16,-1732,-53,-299029,-49,-2065,-299029,-299029,-299029,-299029,-299029,-299029,-299029,-299029,-299029,-299029,-299029,-299029,-299029,-299029,-20,-299029,-299029,-299029,-299029,-299029,-299029,-299029,-299029,-299029,-299029,-4251,-15,-1730,-46,-299029,-45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:44 GMT-0700 (PDT),299031,-2072,-299031,-299031,-299031,-299031,-299031,-299031,-299031,-299031,-299031,-299031,-299031,-299031,-299031,-299031,-28,-299031,-299031,-299031,-299031,-299031,-299031,-299031,-299031,-299031,-299031,-4255,-2,-1734,-55,-299031,-51,-2067,-299031,-299031,-299031,-299031,-299031,-299031,-299031,-299031,-299031,-299031,-299031,-299031,-299031,-299031,-22,-299031,-299031,-299031,-299031,-299031,-299031,-299031,-299031,-299031,-299031,-4253,-17,-1732,-48,-299031,-47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:46 GMT-0700 (PDT),299032,-2073,-299032,-299032,-299032,-299032,-299032,-299032,-299032,-299032,-299032,-299032,-299032,-299032,-299032,-299032,-29,-299032,-299032,-299032,-299032,-299032,-299032,-299032,-299032,-299032,-299032,-4256,-3,-1735,-56,-299032,-52,-2068,-299032,-299032,-299032,-299032,-299032,-299032,-299032,-299032,-299032,-299032,-299032,-299032,-299032,-299032,-23,-299032,-299032,-299032,-299032,-299032,-299032,-299032,-299032,-299032,-299032,-4254,-1,-1733,-49,-299032,-48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:47 GMT-0700 (PDT),299034,-2075,-299034,-299034,-299034,-299034,-299034,-299034,-299034,-299034,-299034,-299034,-299034,-299034,-299034,-299034,-31,-299034,-299034,-299034,-299034,-299034,-299034,-299034,-299034,-299034,-299034,-4258,-5,-1737,-58,-299034,-54,-2070,-299034,-299034,-299034,-299034,-299034,-299034,-299034,-299034,-299034,-299034,-299034,-299034,-299034,-299034,-25,-299034,-299034,-299034,-299034,-299034,-299034,-299034,-299034,-299034,-299034,-4256,-3,-1735,-51,-299034,-50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:48 GMT-0700 (PDT),299035,-2076,-299035,-299035,-299035,-299035,-299035,-299035,-299035,-299035,-299035,-299035,-299035,-299035,-299035,-299035,-32,-299035,-299035,-299035,-299035,-299035,-299035,-299035,-299035,-299035,-299035,-4259,-6,-1738,-59,-299035,-55,-2071,-299035,-299035,-299035,-299035,-299035,-299035,-299035,-299035,-299035,-299035,-299035,-299035,-299035,-299035,-26,-299035,-299035,-299035,-299035,-299035,-299035,-299035,-299035,-299035,-299035,-4257,-4,-1736,-52,-299035,-51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:50 GMT-0700 (PDT),299036,-2077,-299036,-299036,-299036,-299036,-299036,-299036,-299036,-299036,-299036,-299036,-299036,-299036,-299036,-299036,-33,-299036,-299036,-299036,-299036,-299036,-299036,-299036,-299036,-299036,-299036,-4260,-7,-1739,-60,-299036,-56,-2072,-299036,-299036,-299036,-299036,-299036,-299036,-299036,-299036,-299036,-299036,-299036,-299036,-299036,-299036,-27,-299036,-299036,-299036,-299036,-299036,-299036,-299036,-299036,-299036,-299036,-4258,-5,-1737,-53,-299036,-52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:51 GMT-0700 (PDT),299037,-2078,-299037,-299037,-299037,-299037,-299037,-299037,-299037,-299037,-299037,-299037,-299037,-299037,-299037,-299037,-34,-299037,-299037,-299037,-299037,-299037,-299037,-299037,-299037,-299037,-299037,-4261,-8,-1740,-61,-299037,-57,-2073,-299037,-299037,-299037,-299037,-299037,-299037,-299037,-299037,-299037,-299037,-299037,-299037,-299037,-299037,-28,-299037,-299037,-299037,-299037,-299037,-299037,-299037,-299037,-299037,-299037,-4259,-6,-1738,-54,-299037,-53,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:52 GMT-0700 (PDT),299038,-2079,-299038,-299038,-299038,-299038,-299038,-299038,-299038,-299038,-299038,-299038,-299038,-299038,-299038,-299038,-35,-299038,-299038,-299038,-299038,-299038,-299038,-299038,-299038,-299038,-299038,-4262,-9,-1741,-62,-299038,-58,-2074,-299038,-299038,-299038,-299038,-299038,-299038,-299038,-299038,-299038,-299038,-299038,-299038,-299038,-299038,-29,-299038,-299038,-299038,-299038,-299038,-299038,-299038,-299038,-299038,-299038,-4260,-7,-1739,-55,-299038,-54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:53 GMT-0700 (PDT),299040,-2081,-299040,-299040,-299040,-299040,-299040,-299040,-299040,-299040,-299040,-299040,-299040,-299040,-299040,-299040,-37,-299040,-299040,-299040,-299040,-299040,-299040,-299040,-299040,-299040,-299040,-4264,-11,-1743,-64,-299040,-60,-2076,-299040,-299040,-299040,-299040,-299040,-299040,-299040,-299040,-299040,-299040,-299040,-299040,-299040,-299040,-31,-299040,-299040,-299040,-299040,-299040,-299040,-299040,-299040,-299040,-299040,-4262,-9,-1741,-57,-299040,-56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:54 GMT-0700 (PDT),299041,-1,-299041,-299041,-299041,-299041,-299041,-299041,-299041,-299041,-299041,-299041,-299041,-299041,-299041,-299041,-38,-299041,-299041,-299041,-299041,-299041,-299041,-299041,-299041,-299041,-299041,-4265,-12,-1744,-65,-299041,-61,-2077,-299041,-299041,-299041,-299041,-299041,-299041,-299041,-299041,-299041,-299041,-299041,-299041,-299041,-299041,-32,-299041,-299041,-299041,-299041,-299041,-299041,-299041,-299041,-299041,-299041,-4263,-10,-1742,-58,-299041,-57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:56 GMT-0700 (PDT),299042,-2,-299042,-299042,-299042,-299042,-299042,-299042,-299042,-299042,-299042,-299042,-299042,-299042,-299042,-299042,-39,-299042,-299042,-299042,-299042,-299042,-299042,-299042,-299042,-299042,-299042,-4266,-13,-1745,-66,-299042,-62,-2078,-299042,-299042,-299042,-299042,-299042,-299042,-299042,-299042,-299042,-299042,-299042,-299042,-299042,-299042,-33,-299042,-299042,-299042,-299042,-299042,-299042,-299042,-299042,-299042,-299042,-4264,-11,-1743,-59,-299042,-58,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:57 GMT-0700 (PDT),299043,-3,-299043,-299043,-299043,-299043,-299043,-299043,-299043,-299043,-299043,-299043,-299043,-299043,-299043,-299043,-40,-299043,-299043,-299043,-299043,-299043,-299043,-299043,-299043,-299043,-299043,-4267,-14,-1746,-67,-299043,-63,-2079,-299043,-299043,-299043,-299043,-299043,-299043,-299043,-299043,-299043,-299043,-299043,-299043,-299043,-299043,-34,-299043,-299043,-299043,-299043,-299043,-299043,-299043,-299043,-299043,-299043,-4265,-12,-1744,-60,-299043,-59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:44:58 GMT-0700 (PDT),299044,-4,-299044,-299044,-299044,-299044,-299044,-299044,-299044,-299044,-299044,-299044,-299044,-299044,-299044,-299044,-41,-299044,-299044,-299044,-299044,-299044,-299044,-299044,-299044,-299044,-299044,-4268,-15,-1747,-68,-299044,-64,-2080,-299044,-299044,-299044,-299044,-299044,-299044,-299044,-299044,-299044,-299044,-299044,-299044,-299044,-299044,-35,-299044,-299044,-299044,-299044,-299044,-299044,-299044,-299044,-299044,-299044,-4266,-13,-1745,-61,-299044,-60,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:45:00 GMT-0700 (PDT),299046,-6,-299046,-299046,-299046,-299046,-299046,-299046,-299046,-299046,-299046,-299046,-299046,-299046,-299046,-299046,-43,-299046,-299046,-299046,-299046,-299046,-299046,-299046,-299046,-299046,-299046,-4270,-17,-1749,-70,-299046,-66,-1,-299046,-299046,-299046,-299046,-299046,-299046,-299046,-299046,-299046,-299046,-299046,-299046,-299046,-299046,-37,-299046,-299046,-299046,-299046,-299046,-299046,-299046,-299046,-299046,-299046,-4268,-15,-1747,-63,-299046,-62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:45:02 GMT-0700 (PDT),299049,-9,-299049,-299049,-299049,-299049,-299049,-299049,-299049,-299049,-299049,-299049,-299049,-299049,-299049,-299049,-46,-299049,-299049,-299049,-299049,-299049,-299049,-299049,-299049,-299049,-299049,-4273,-2,-1752,-73,-299049,-69,-4,-299049,-299049,-299049,-299049,-299049,-299049,-299049,-299049,-299049,-299049,-299049,-299049,-299049,-299049,-40,-299049,-299049,-299049,-299049,-299049,-299049,-299049,-299049,-299049,-299049,-4271,-18,-1750,-66,-299049,-65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:45:04 GMT-0700 (PDT),299050,-10,-299050,-299050,-299050,-299050,-299050,-299050,-299050,-299050,-299050,-299050,-299050,-299050,-299050,-299050,-47,-299050,-299050,-299050,-299050,-299050,-299050,-299050,-299050,-299050,-299050,-4274,-3,-1753,-74,-299050,-70,-5,-299050,-299050,-299050,-299050,-299050,-299050,-299050,-299050,-299050,-299050,-299050,-299050,-299050,-299050,-41,-299050,-299050,-299050,-299050,-299050,-299050,-299050,-299050,-299050,-299050,-4272,-1,-1751,-67,-299050,-66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:45:05 GMT-0700 (PDT),299052,-12,-299052,-299052,-299052,-299052,-299052,-299052,-299052,-299052,-299052,-299052,-299052,-299052,-299052,-299052,-49,-299052,-299052,-299052,-299052,-299052,-299052,-299052,-299052,-299052,-299052,-4276,-5,-1755,-76,-299052,-72,-7,-299052,-299052,-299052,-299052,-299052,-299052,-299052,-299052,-299052,-299052,-299052,-299052,-299052,-299052,-43,-299052,-299052,-299052,-299052,-299052,-299052,-299052,-299052,-299052,-299052,-4274,-3,-1753,-69,-299052,-68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:45:06 GMT-0700 (PDT),299053,-13,-299053,-299053,-299053,-299053,-299053,-299053,-299053,-299053,-299053,-299053,-299053,-299053,-299053,-299053,-50,-299053,-299053,-299053,-299053,-299053,-299053,-299053,-299053,-299053,-299053,-4277,-6,-1756,-77,-299053,-73,-8,-299053,-299053,-299053,-299053,-299053,-299053,-299053,-299053,-299053,-299053,-299053,-299053,-299053,-299053,-44,-299053,-299053,-299053,-299053,-299053,-299053,-299053,-299053,-299053,-299053,-4275,-4,-1754,-70,-299053,-69,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:45:08 GMT-0700 (PDT),299054,-14,-299054,-299054,-299054,-299054,-299054,-299054,-299054,-299054,-299054,-299054,-299054,-299054,-299054,-299054,-51,-299054,-299054,-299054,-299054,-299054,-299054,-299054,-299054,-299054,-299054,-4278,-7,-1757,-78,-299054,-74,-9,-299054,-299054,-299054,-299054,-299054,-299054,-299054,-299054,-299054,-299054,-299054,-299054,-299054,-299054,-45,-299054,-299054,-299054,-299054,-299054,-299054,-299054,-299054,-299054,-299054,-4276,-5,-1755,-71,-299054,-70,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:45:09 GMT-0700 (PDT),299055,-15,-299055,-299055,-299055,-299055,-299055,-299055,-299055,-299055,-299055,-299055,-299055,-299055,-299055,-299055,-52,-299055,-299055,-299055,-299055,-299055,-299055,-299055,-299055,-299055,-299055,-4279,-8,-1758,-79,-299055,-75,-10,-299055,-299055,-299055,-299055,-299055,-299055,-299055,-299055,-299055,-299055,-299055,-299055,-299055,-299055,-46,-299055,-299055,-299055,-299055,-299055,-299055,-299055,-299055,-299055,-299055,-4277,-6,-1756,-72,-299055,-71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:45:10 GMT-0700 (PDT),299057,-17,-299057,-299057,-299057,-299057,-299057,-299057,-299057,-299057,-299057,-299057,-299057,-299057,-299057,-299057,-54,-299057,-299057,-299057,-299057,-299057,-299057,-299057,-299057,-299057,-299057,-4281,-10,-1760,-81,-299057,-77,-12,-299057,-299057,-299057,-299057,-299057,-299057,-299057,-299057,-299057,-299057,-299057,-299057,-299057,-299057,-48,-299057,-299057,-299057,-299057,-299057,-299057,-299057,-299057,-299057,-299057,-4279,-8,-1758,-74,-299057,-73,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:45:11 GMT-0700 (PDT),299058,-18,-299058,-299058,-299058,-299058,-299058,-299058,-299058,-299058,-299058,-299058,-299058,-299058,-299058,-299058,-55,-299058,-299058,-299058,-299058,-299058,-299058,-299058,-299058,-299058,-299058,-4282,-11,-1761,-82,-299058,-78,-13,-299058,-299058,-299058,-299058,-299058,-299058,-299058,-299058,-299058,-299058,-299058,-299058,-299058,-299058,-49,-299058,-299058,-299058,-299058,-299058,-299058,-299058,-299058,-299058,-299058,-4280,-9,-1759,-75,-299058,-74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:45:12 GMT-0700 (PDT),299059,-1,-299059,-299059,-299059,-299059,-299059,-299059,-299059,-299059,-299059,-299059,-299059,-299059,-299059,-299059,-56,-299059,-299059,-299059,-299059,-299059,-299059,-299059,-299059,-299059,-299059,-4283,-12,-1762,-83,-299059,-79,-14,-299059,-299059,-299059,-299059,-299059,-299059,-299059,-299059,-299059,-299059,-299059,-299059,-299059,-299059,-50,-299059,-299059,-299059,-299059,-299059,-299059,-299059,-299059,-299059,-299059,-4281,-10,-1760,-76,-299059,-75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:45:14 GMT-0700 (PDT),299060,-2,-299060,-299060,-299060,-299060,-299060,-299060,-299060,-299060,-299060,-299060,-299060,-299060,-299060,-299060,-57,-299060,-299060,-299060,-299060,-299060,-299060,-299060,-299060,-299060,-299060,-4284,-13,-1763,-84,-299060,-80,-15,-299060,-299060,-299060,-299060,-299060,-299060,-299060,-299060,-299060,-299060,-299060,-299060,-299060,-299060,-51,-299060,-299060,-299060,-299060,-299060,-299060,-299060,-299060,-299060,-299060,-4282,-11,-1761,-77,-299060,-76,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:45:15 GMT-0700 (PDT),299061,-3,-299061,-299061,-299061,-299061,-299061,-299061,-299061,-299061,-299061,-299061,-299061,-299061,-299061,-299061,-58,-299061,-299061,-299061,-299061,-299061,-299061,-299061,-299061,-299061,-299061,-4285,-14,-1764,-85,-299061,-81,-16,-299061,-299061,-299061,-299061,-299061,-299061,-299061,-299061,-299061,-299061,-299061,-299061,-299061,-299061,-52,-299061,-299061,-299061,-299061,-299061,-299061,-299061,-299061,-299061,-299061,-4283,-12,-1762,-78,-299061,-77,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:45:16 GMT-0700 (PDT),299062,-4,-299062,-299062,-299062,-299062,-299062,-299062,-299062,-299062,-299062,-299062,-299062,-299062,-299062,-299062,-59,-299062,-299062,-299062,-299062,-299062,-299062,-299062,-299062,-299062,-299062,-4286,-15,-1765,-86,-299062,-82,-17,-299062,-299062,-299062,-299062,-299062,-299062,-299062,-299062,-299062,-299062,-299062,-299062,-299062,-299062,-53,-299062,-299062,-299062,-299062,-299062,-299062,-299062,-299062,-299062,-299062,-4284,-13,-1763,-79,-299062,-78,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:45:18 GMT-0700 (PDT),299064,-6,-299064,-299064,-299064,-299064,-299064,-299064,-299064,-299064,-299064,-299064,-299064,-299064,-299064,-299064,-61,-299064,-299064,-299064,-299064,-299064,-299064,-299064,-299064,-299064,-299064,-4288,-17,-1767,-88,-299064,-84,0,-299064,-299064,-299064,-299064,-299064,-299064,-299064,-299064,-299064,-299064,-299064,-299064,-299064,-299064,-55,-299064,-299064,-299064,-299064,-299064,-299064,-299064,-299064,-299064,-299064,-4286,-15,-1765,-81,-299064,-80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tue May 03 2016 19:45:19 GMT-0700 (PDT),299066,-8,-299066,-299066,-299066,-299066,-299066,-299066,-299066,-299066,-299066,-299066,-299066,-299066,-299066,-299066,-63,-299066,-299066,-299066,-299066,-299066,-299066,-299066,-299066,-299066,-299066,-4290,-19,-1769,-90,-299066,-86,-2,-299066,-299066,-299066,-299066,-299066,-299066,-299066,-299066,-299066,-299066,-299066,-299066,-299066,-299066,-57,-299066,-299066,-299066,-299066,-299066,-299066,-299066,-299066,-299066,-299066,-4288,-17,-1767,-83,-299066,-82,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
